zip,lat,lon
09175,,
09177,,
09178,,
09180,,
09182,,
09183,,
09185,,
09186,,
09189,,
09211,,
09212,,
09213,,
09214,,
09220,,
09222,,
09225,,
09226,,
09227,,
09229,,
09234,,
09237,,
09239,,
09244,,
09245,,
09250,,
09252,,
09262,,
09263,,
09264,,
09265,,
09266,,
09267,,
09269,,
09275,,
09302,,
09303,,
09304,,
09305,,
09340,,
09391,,
09396,,
09397,,
09398,,
09409,,
09419,,
09420,,
09421,,
09447,,
09448,,
09449,,
09454,,
09456,,
09459,,
09461,,
09463,,
09464,,
09468,,
09469,,
09470,,
09494,,
09496,,
09498,,
09499,,
09501,,
09502,,
09503,,
09504,,
09505,,
09506,,
09507,,
09508,,
09509,,
09510,,
09511,,
09517,,
09521,,
09524,,
09532,,
09534,,
09536,,
09543,,
09544,,
09545,,
09549,,
09550,,
09551,,
09554,,
09556,,
09557,,
09558,,
09563,,
09564,,
09565,,
09566,,
09567,,
09568,,
09569,,
09570,,
09573,,
09574,,
09575,,
09576,,
09577,,
09578,,
09579,,
09581,,
09582,,
09586,,
09587,,
09588,,
09589,,
09590,,
09591,,
09593,,
09594,,
09595,,
09596,,
09599,,
09601,,
09603,,
09604,,
09609,,
09610,,
09612,,
09613,,
09617,,
09618,,
09619,,
09620,,
09621,,
09622,,
09623,,
09624,,
09625,,
09626,,
09627,,
09628,,
09630,,
09631,,
09636,,
09638,,
09642,,
09643,,
09644,,
09645,,
09647,,
09649,,
09703,,
09704,,
09705,,
09706,,
09707,,
09708,,
09709,,
09710,,
09711,,
09713,,
09714,,
09715,,
09716,,
09717,,
09718,,
09720,,
09721,,
09722,,
09723,,
09724,,
09725,,
09726,,
09727,,
09728,,
09729,,
09730,,
09731,,
09732,,
09733,,
09734,,
09735,,
09777,,
09779,,
09780,,
09782,,
09783,,
09784,,
09789,,
09790,,
09791,,
09792,,
09793,,
09795,,
09796,,
09797,,
09802,,
09803,,
09804,,
09805,,
09808,,
09809,,
09810,,
09811,,
09812,,
09813,,
09814,,
09815,,
09816,,
09819,,
09821,,
09822,,
09823,,
09824,,
09825,,
09826,,
09827,,
09828,,
09829,,
09830,,
09831,,
09832,,
09833,,
09834,,
09835,,
09836,,
09837,,
09838,,
09839,,
09841,,
09842,,
09843,,
09844,,
09852,,
09853,,
09854,,
09855,,
09858,,
09865,,
09866,,
09867,,
09868,,
09871,,
09876,,
09880,,
09882,,
09888,,
09889,,
09890,,
09892,,
09894,,
09898,,
09899,,
10008,40.780751,-73.977182
10015,40.780751,-73.977182
10041,40.703801,-74.009814
10043,40.780751,-73.977182
10045,40.70859,-74.008687
10046,40.780751,-73.977182
10047,40.780751,-73.977182
10048,40.71254,-74.013289
10055,40.780751,-73.977182
10060,40.780751,-73.977182
10072,40.780751,-73.977182
10079,40.780751,-73.977182
10080,40.780751,-73.977182
10081,40.780751,-73.977182
10082,40.780751,-73.977182
10087,40.780751,-73.977182
10090,40.780751,-73.977182
10094,40.780751,-73.977182
10095,40.748181,-73.988421
10096,40.780751,-73.977182
10098,40.748181,-73.988421
10099,40.780751,-73.977182
10101,40.780751,-73.977182
10102,40.780751,-73.977182
10104,40.760943,-73.979908
10105,40.762808,-73.978534
10106,40.765243,-73.980438
10107,40.766429,-73.982728
10108,40.780751,-73.977182
